Date,Close
1/5/2001,28.88
1/12/2001,28.59
1/19/2001,28.63
1/26/2001,29.25
2/2/2001,29.91
2/9/2001,32.02
2/16/2001,32.2
2/23/2001,31.41
3/2/2001,31.75
3/9/2001,32.33
3/16/2001,33.05
3/23/2001,32.35
3/30/2001,34.66
4/6/2001,33.17
4/12/2001,32.95
4/20/2001,31
4/27/2001,31.33
5/4/2001,30.13
5/11/2001,29.91
5/18/2001,29.52
5/25/2001,29.88
6/1/2001,30.45
6/8/2001,30.48
6/15/2001,30.03
6/22/2001,30.51
6/29/2001,30.86
7/6/2001,30.67
7/13/2001,31.2
7/20/2001,31.31
7/27/2001,30.16
8/3/2001,29.85
8/10/2001,29.74
8/17/2001,30.14
8/24/2001,32.03
8/31/2001,32.24
9/7/2001,32.56
9/10/2001,33.05
9/21/2001,30.13
9/28/2001,32.69
10/5/2001,32.15
10/12/2001,30.52
10/19/2001,32.28
10/26/2001,32.39
11/2/2001,32.88
11/9/2001,33.09
11/16/2001,33.35
11/23/2001,33.18
11/30/2001,32.73
12/7/2001,32.62
12/14/2001,33.07
12/21/2001,34.15
12/28/2001,33.99
1/4/2002,33.33
1/11/2002,33.75
1/18/2002,34.66
1/25/2002,34.22
2/1/2002,34.89
2/8/2002,35.19
2/15/2002,35.47
2/22/2002,35.83
3/1/2002,35.53
3/8/2002,34.49
3/15/2002,34.39
3/22/2002,33.83
3/28/2002,34.27
4/5/2002,34.78
4/12/2002,35.85
4/19/2002,34.1
4/26/2002,33.77
5/3/2002,34.22
5/10/2002,33.91
5/17/2002,34.2
5/24/2002,33.48
5/31/2002,33.37
6/7/2002,32.99
6/14/2002,32.23
6/21/2002,32.48
6/28/2002,31.25
7/5/2002,30.95
7/12/2002,31.07
7/19/2002,28.68
7/26/2002,39.36
8/2/2002,36.96
8/9/2002,36.88
8/16/2002,37.5
8/23/2002,37.52
8/30/2002,37.88
9/6/2002,36.92
9/13/2002,36.91
9/20/2002,32.07
9/27/2002,31.41
10/4/2002,30.87
10/11/2002,31.17
10/18/2002,31.94
10/25/2002,32.7
11/1/2002,32.4
11/8/2002,32.22
11/15/2002,32.51
11/22/2002,32.56
11/29/2002,32.2
12/6/2002,31.95
12/13/2002,32.78
12/20/2002,33.88
12/27/2002,33.58
1/3/2003,33.75
1/10/2003,33.55
1/17/2003,34.17
1/24/2003,33.01
1/31/2003,32.25
2/7/2003,32.23
2/14/2003,32.55
2/21/2003,32.43
2/28/2003,32.31
3/7/2003,31.54
3/14/2003,31.31
3/21/2003,33.03
3/28/2003,31.47
4/4/2003,31.85
4/11/2003,31.63
4/17/2003,32.03
4/25/2003,32.23
5/2/2003,32.82
5/9/2003,33.82
5/16/2003,33.78
5/23/2003,34.33
5/30/2003,35.55
6/6/2003,35.4
6/13/2003,36.25
6/20/2003,35.59
6/27/2003,34.91
7/3/2003,35.45
7/11/2003,35.59
7/18/2003,36.81
7/25/2003,37.05
8/1/2003,36.03
8/8/2003,35.98
8/15/2003,36.48
8/22/2003,34.82
8/29/2003,34.95
9/5/2003,35.47
9/12/2003,36.23
9/19/2003,36.53
9/26/2003,36.71
10/3/2003,37.17
10/10/2003,37.03
10/17/2003,37.58
10/24/2003,38.19
10/31/2003,38.55
11/7/2003,38.47
11/14/2003,38.6
11/21/2003,38.59
11/28/2003,38.85
12/5/2003,38.86
12/12/2003,38.41
12/19/2003,38.03
12/26/2003,38.35
1/2/2004,38.27
1/9/2004,37.42
1/16/2004,37.7
1/23/2004,37.49
1/30/2004,37.76
2/6/2004,39.07
2/13/2004,39.45
2/20/2004,41.86
2/27/2004,41.45
3/5/2004,42.16
3/12/2004,42.5
3/19/2004,41.75
3/26/2004,40.92
4/2/2004,41.17
4/8/2004,41.71
4/16/2004,43.11
4/23/2004,43.78
4/30/2004,44.45
5/7/2004,44.61
5/14/2004,44.26
5/21/2004,44.2
5/28/2004,44.43
6/4/2004,44.66
6/10/2004,45.75
6/18/2004,45.2
6/25/2004,45
7/2/2004,45.51
7/9/2004,46.28
7/16/2004,46.54
7/23/2004,46.04
7/30/2004,48.24
8/6/2004,46.66
8/13/2004,47.71
8/20/2004,47.82
8/27/2004,48.4
9/3/2004,49.76
9/10/2004,47.95
9/17/2004,48.18
9/24/2004,46.16
10/1/2004,47.31
10/8/2004,46.45
10/15/2004,46.6
10/22/2004,48.47
10/29/2004,50.69
11/5/2004,52.2
11/12/2004,51.93
11/19/2004,51.69
11/26/2004,51.94
12/3/2004,54.62
12/10/2004,55.42
12/17/2004,54.85
12/23/2004,54.63
12/31/2004,55.54
1/7/2005,54.01
1/14/2005,54.84
1/21/2005,55.9
1/28/2005,57.96
2/4/2005,60.25
2/11/2005,61.24
2/18/2005,61.61
2/25/2005,62.62
3/4/2005,64.42
3/11/2005,62.48
3/18/2005,61.78
3/24/2005,60.11
4/1/2005,60.1
4/8/2005,60.39
4/15/2005,61.27
4/22/2005,63.19
4/29/2005,63.9
5/6/2005,64.65
5/13/2005,66.25
5/20/2005,64.97
5/27/2005,64.56
6/3/2005,64.56
6/10/2005,64.01
6/17/2005,64.98
6/24/2005,61.58
7/1/2005,62.23
7/8/2005,61.43
7/15/2005,60.74
7/22/2005,62.98
7/29/2005,63.87
8/5/2005,61.73
8/12/2005,61.54
8/19/2005,60.76
8/26/2005,58.23
9/2/2005,58.54
9/9/2005,59.27
9/16/2005,57.96
9/23/2005,55.5
9/30/2005,56.31
10/7/2005,56.3
10/14/2005,55.92
10/21/2005,58.8
10/28/2005,56.97
11/4/2005,55.69
11/11/2005,55.05
11/18/2005,54
11/25/2005,54.68
12/2/2005,55.28
12/9/2005,55.67
12/16/2005,57.86
12/23/2005,56.09
12/30/2005,55.25
1/6/2006,54.4
1/13/2006,54.45
1/20/2006,54.42
1/27/2006,51.68
2/3/2006,51.53
2/10/2006,51.66
2/17/2006,53.65
2/24/2006,52.45
3/3/2006,51.23
3/10/2006,52.42
3/17/2006,53.86
3/24/2006,53.4
3/31/2006,52.23
4/7/2006,50.52
4/13/2006,50.68
4/21/2006,51.21
4/28/2006,53.34
5/5/2006,53.74
5/12/2006,53.92
5/19/2006,55.89
5/26/2006,56.82
6/2/2006,56.33
6/9/2006,55.46
6/16/2006,54.77
6/23/2006,54.61
6/30/2006,55.07
7/7/2006,55.48
7/14/2006,55.56
7/21/2006,56.07
7/28/2006,55.99
8/4/2006,53.11
8/11/2006,52.53
8/18/2006,53.82
8/25/2006,53.91
9/1/2006,54.27
9/8/2006,51.34
9/15/2006,51.94
9/22/2006,51.63
9/29/2006,53.45
10/6/2006,53.14
10/13/2006,53.25
10/20/2006,51.05
10/27/2006,52.41
11/3/2006,53.12
11/10/2006,52.92
11/17/2006,52.74
11/24/2006,53.11
12/1/2006,50.89
12/8/2006,49.65
12/15/2006,51.02
12/22/2006,49.9
12/29/2006,49.8
1/5/2007,50.07
1/12/2007,50.58
1/19/2007,52.37
1/26/2007,50.4
2/2/2007,51.88
2/9/2007,50.73
2/16/2007,52.38
2/23/2007,53.09
3/2/2007,53.05
3/9/2007,54.63
3/16/2007,53.48
3/23/2007,54.31
3/30/2007,54.66
4/5/2007,56.22
4/13/2007,55.38
4/20/2007,54.5
4/27/2007,54.53
5/4/2007,55.55
5/11/2007,52.54
5/18/2007,51.77
5/25/2007,52.29
6/1/2007,53.04
6/8/2007,51.21
6/15/2007,51.07
6/22/2007,50.12
6/29/2007,50.62
7/6/2007,50.82
